﻿language,unit,word,definition
"עברית","1","אָבְנַיִים","מתקן מסתובב להכנת כלי חרס"
"עברית","1","אוֹצֵר","הממונה על המוצגים במוזיאון"
"עברית","1","אוֹצֵר","שומר על משהו יקר ערך"
"עברית","1","אָחוּ","כר דשא, שדה מרעה"
"עברית","1","אִיחוּי","חיבור חלקים, הכלבה"
"עברית","1","אִלוּלֵא","אם לא, אלמלא, לולי, לולא"
"עברית","1","אֲלוּמָּה","חבילת שיבולים קצורות"
"עברית","1","אֲלוּמָּה","גלים המשודרים בטווח צר, קרן (אלומת אור - קרן אור)"
"עברית","1","אֲלוּמָּת אוֹר","קרן אור"
"עברית","1","אָמוֹדַאי","צוללן"
"עברית","1","אָמִיר","צמרת, הענפים העליונים בעץ"
"עברית","1","אֲמַתְלָה","תרוץ, סיבה לא אמיתית"
"עברית","1","אָסָם","מחסן תבואה"
"עברית","1","אֶצְבָּעוֹן","כיסוי המהווה הגנה לאצבע בשעת תפירה"
"עברית","1","אֶקְרָן","מסך, מִרְקע"
"עברית","1","אָרִיג","בד"
"עברית","1","אַרְכִיב / אַרְכִיּוֹן","מקום אחסון למסמכים"
"עברית","1","אֲרָעִי","זמני"
"עברית","1","אֶשְׁכּוֹל","מספר פירות או פרחים המחוברים יחדיו לאותו הגבעול"
"עברית","1","אֶשְׁכּוֹל","מספר דברים קטנים המחוברים יחד, חבילה"
"עברית","1","בֵּאוּר","הסבר של נושא לא מובן או ההסבר עצמו, פרשנות"
"עברית","1","בְּגִלּוּפִין","במצב של שכרות קלה, ""בראש טוב"""
"עברית","1","בְּגַפּוֹ","לבדו, ללא בן זוג"
"עברית","1","בּוּרְסְקִי / בּוּרְסְקַאי / בּוּרְסִי","מעבד עורות"
"עברית","1","בּוֹשׁ","התבייש"
"עברית","1","בּוֹשֵׁשׁ","התמהמה בעשיית דבר מה (בושש לבוא - איחר, התעכב)"
"עברית","1","בִּיּוּת","אילוף, הפיכת דבר פראי לביתי"
"עברית","1","בִּיּוּת","הנחיית פצצה או טיל אל עבר מטרה"
"עברית","1","בֵּית בַּד","מקום בו מייצרים שמן מזיתים"
"עברית","1","בֵּית מַרְזֵחַ","בר, פאב, מסבאה"
"עברית","1","בַּלָּן","עובד בבית המרחץ"
"עברית","1","בְּמַפְגִּיעַ","באופן נמרץ, באסרטיביות, בהחלטיות, בפסקנות"
"עברית","1","בְּמַפְגִּיעַ","בהתרסה, באופן בוטה"
"עברית","1","בַּעֲלִיל","באופן ברור, ללא ספק"
"עברית","1","בְּפוּמְבִּי / בְּפוּמְבֵּי","באופן גלוי ולעיני כל"
"עברית","1","בָּצִיר","קטיף ענבים"
"עברית","1","בָּצַר","קטף ענבים"
"עברית","1","בֵּרָא","כָּרַת, עקר עצים"
"עברית","1","גָּדָה","שפת הנהר, חוף"
"עברית","1","גָּדָה","קצה כלי, שפת הכלי (מלא עד גדותיו - מלא עד הסוף, עלה על מידותיו)"
"עברית","1","גָהַר","התכופף, השתופף"
"עברית","1","גּוּר","הִזָּהֵר"
"עברית","1","גְזוּזְטְרָה","מרפסת חיצונית (ללא גג)"
"עברית","1","גְּזִיר","חתיכה שנגזרה ממשהו"
"עברית","1","גִּלְעֵן","הוציא את גלעין הפרי"
"עברית","1","גַּרְגְרָן","אכלן, זללן, להוט אחר אוכל"
"עברית","1","גַּת","מקום המשמש לדריכת ענבים והכנת יין"
"עברית","1","דָּגָה","שם כולל לכל הדגים למיניהם"
"עברית","1","דּוֹבֵב","גרם למישהו אחר לדבר"
"עברית","1","דִּידַקְטִי","שקשור בתחום תורת ההוראה (דידקטיקה - תורת ההוראה)"
"עברית","1","דִּרְבּוּן","עידוד לפעולה מסוימת, המרצה"
"עברית","1","הִבְלִיג","ריסן את עצמו, התאפק"
"עברית","1","הִבְלִיג","נמנע מלבטא רגש כלשהו"
"עברית","1","הִגֵּר","עבר מארץ אחת לאחרת והשתקע בה לפרק זמן ממושך"
"עברית","1","הֲדוֹם","שרפרף נמוך, ספסל נמוך שהיושב מניח עליו את רגליו"
"עברית","1","הֶדְיוֹט","נטול ידיעות בתחום מסוים"
"עברית","1","הִטְמִיעַ","ספג, הפנים, גרם למשהו להפוך חלק בלתי נפרד ממשהו אחד"
"עברית","1","הִיסָּה","השתיק, השקיט, החריש"
"עברית","1","הִכְבִּיר בְּמִילִים","דבר רבות באריכות יתרה, האריך בדברים"
"עברית","1","הִכְחִישׁ","טען שמשהו אינו נכון, שלל"
"עברית","1","הַס","מילת ציווי הדורשת שקט"
"עברית","1","הִסְכִּית","שתק והקשיב בריכוז, האזין, הטה אוזן"
"עברית","1","הִסְלִים","החריף, הקצין, הידרדר"
"עברית","1","הִסְמִיךְ","קֵרֵב, גרם להם להיות סמוכים (קרובים / קשורים)"
"עברית","1","הִסְמִיךְ","הפך משהו לפחות נוזלי"
"עברית","1","הִסְמִיךְ","נתן לו סמכות, אישר לו לבצע משהו, ייפה את כוחו"
"עברית","1","הֶעֱלָה אֲרוּכָה","הגליד (ארוכה = גלד, הרקמה הנוצרת תוך כדי תהליך הריפוי של הפצע)"
"עברית","1","הִפְלִיא בּוֹ אֶת מַכּוֹתָיו","הִכָּה אותו"
"עברית","1","הִפְלִיג בְּ-","הִרְבָּה, הפריז, הגזים, עשה משהו בשפע (הפליג בשבחו - שיבח אותו מאוד)"
"עברית","1","הִצְפִּין","העלים, החביא"
"עברית","1","הִצְפִּין","נע צפונה"
"עברית","1","הֵקִיץ","התעורר משנתו, נֵעוֹר"
"עברית","1","הִשְׁחִיז","ליטש וחידד את הלהב"
"עברית","1","הִשְׁתָּאוּת","פליאה"
"עברית","1","הִתְבַּשֵּׂר","קיבל או שמע בשורה (בדרך כלל בשורה טובה)"
"עברית","1","הִתְגּוֹדֵד","התקהל, התאסף"
"עברית","1","הִתְחַלָּה","העמיד פני חולה, התחזה לחולה"
"עברית","1","הִתְחַסֵּד","העמיד פני צדיק"
"עברית","1","הִתִּיר","אִפְשֵר, הסכים, אישר (מהמילה מותר)"
"עברית","1","הִתִּיר","שחרר (התיר את הקשר - פתח את הקשר)"
"עברית","1","הִתְכַּתֵּשׁ","נאבק"
"עברית","1","הִתְמוֹגֵג","התענג, נהנה, רווה נחת"
"עברית","1","הִתַּמֵּר","התרומם כלפי מעלה, התנשא"
"עברית","1","הִתְנַבֵּא","השמיע ניבוי או חיזוי כלשהו"
"עברית","1","הִתְנַכֵּר","העמיד פנים כאילו אין לו קשר אליו, התעלם ממנו במכוון"
"עברית","1","הִתְנַצֵּחַ","התווכח"
"עברית","1","הִתְעַמֵּר","התעלל, התאכזר"
"עברית","1","הִתְעַרְטֵל","פשט את בגדיו"
"עברית","1","הִתְרָה","הזהיר"
"עברית","1","הִתְרַצָּה","נענה לבקשה לאחר שכנוע רב, הסכים"
"עברית","1","זַבָּן","מוכר בחנות"
"עברית","1","זֶרֶד","ענף"
"עברית","1","זָרָה מֶלַח עַל הַפְּצָעִים","הוסיף על צערו, דרך לו על היבלות, נגע בעצב רגיש (זרה - פיזר)"
"עברית","1","חַס","ריחם, מחל, חנן"
"עברית","1","חֲרִי (אַף)","כעס, חֵמה, זעם"
"עברית","1","חָרִישׁ","ביתור האדמה במחרשה כדי שתהיה נוחה לזריעה"
"עברית","1","חָרִישׁ","העונה שחורשים ומפלחים בה את האדמה"
"עברית","1","חֲרִישִׁי","שָׁקֵט"
"עברית","1","חָרָךְ","חריץ או חור בקיר"
